TS_LOAD;SYS_DESC;VEH_SER_NO;OPR_NAME
2017-03-09 06:44:27.207000;OMT Offline Tracking;TRL028;Enter Offline
2017-03-09 06:45:50.183000;Assembly Line Tracker;KFN372;Pool 13 Start
2017-03-09 06:45:50.377000;Assembly Line Tracker;AHN391;Pool 13 Start
2017-03-09 06:46:54.263000;Hood Conveyor;AGU058;Hood Upload
2017-03-09 06:47:47.300000;Cab call scan;ICB356;A Line
2017-03-09 06:48:45.203000;Cab Conveyer;LED479;Cab Upload 2
2017-03-09 06:48:45.203000;Cab Conveyor / Monorail;LED479;Cab Upload
2017-03-09 06:50:13.000000;STVMS Tracking Chassis Start;MPO083;Chassis Start
2017-03-09 06:50:13.267000;Hood Conveyor;QZH295;Hood Upload
2017-03-09 06:50:51.067000;Assembly Line Tracker;DPH631;Pool 13 Start
2017-03-09 06:51:23.000000;U-BOLT;LGO801;Front U-Bolt
2017-03-09 06:52:53.950000;Cab in white conveyer;ORS751;CIW upload
2017-03-09 06:52:55.173000;OMT Offline Tracking;NKE126;Enter Offline
2017-03-09 06:52:55.173000;OMT Offline Tracking;NKE126;Sold
2017-03-09 06:54:21.310000;Hood Conveyor;SEK173;Hood Upload
2017-03-09 06:54:45.377000;OMT Offline Tracking;FMU279;Enter Offline
2017-03-09 06:55:13.750000;Cab Conveyer;QBR938;Cab Upload 2
2017-03-09 06:55:13.750000;Cab Conveyor / Monorail;QBR938;Cab Upload
2017-03-09 06:56:37.000000;STVMS Tracking Chassis Start;LER634;Chassis Start
2017-03-09 06:57:18.287000;Cab Conveyer;YBJ023;Cab Upload 2
2017-03-09 06:57:18.287000;Cab Conveyor / Monorail;YBJ023;Cab Upload
2017-03-09 06:58:49.000000;U-BOLT;FTI824;Front U-Bolt
2017-03-09 06:59:20.814697;Paint Inspection;DJZ516;PAINT
2017-03-09 07:00:24.840000;Cab in white conveyer;BYF840;CIW upload
2017-03-09 07:00:49.410000;Hood Conveyor;TRJ645;Hood Upload
2017-03-09 07:01:28.000000;U-BOLT;FTI824;Rear U-Bolt
2017-03-09 07:02:45.317000;Cab Call Scan;JBC439;B Line
2017-03-09 07:03:59.797000;OMT Offline Tracking;QMA357;Enter Offline
2017-03-09 07:04:13.880000;Hood Conveyor;CSV482;Hood Upload
2017-03-09 07:04:42.873000;Cab in white conveyer;ZJC386;CIW upload
2017-03-09 07:05:22.450000;OMT Offline Tracking;ERC382;Enter Offline
2017-03-09 07:05:50.633000;Assembly Line Tracker;LER634;Pool 13 Start
2017-03-09 07:05:51.020000;Assembly Line Tracker;MPO083;Pool 13 Start
2017-03-09 07:07:01.860000;Cab call scan;MPE786;A Line
2017-03-09 07:07:13.000000;U-BOLT;VCM016;Front U-Bolt
2017-03-09 07:08:35.360000;Hood Conveyor;NHZ581;Hood Upload
2017-03-09 07:10:08.340000;Cab Conveyer;UWT728;Cab Upload 2
2017-03-09 07:10:08.340000;Cab Conveyor / Monorail;UWT728;Cab Upload
2017-03-09 07:10:50.243000;Assembly Line Tracker;SPI314;Pool 13 Start
2017-03-09 07:11:37.820000;Cab in white conveyer;EVZ013;CIW upload
2017-03-09 07:11:54.000000;STVMS Tracking Chassis Start;SPI314;Chassis Start
2017-03-09 07:11:57.000000;STVMS Tracking Chassis Start;AGU058;Chassis Start
2017-03-09 07:12:00.000000;STVMS Tracking Chassis Start;QZH295;Chassis Start
2017-03-09 07:12:59.000000;U-BOLT;VCM016;Rear U-Bolt
